lib,trial,n,threads,us_per_n,cpu_time,real_time
ntl-feea,1,8,8,37.4549,0.01,00.02
ntl-feea,1,8,16,36.3945,0.01,00.02
ntl-feea,1,9,1,40.1689,0.02,00.02
ntl-feea,1,9,2,40.6723,0.02,00.02
ntl-feea,1,9,4,41.2477,0.03,00.03
ntl-feea,1,9,8,38.3158,0.02,00.03
ntl-feea,1,9,16,40.1004,0.02,00.03
ntl-feea,1,10,1,38.2786,0.04,00.04
ntl-feea,1,10,2,42.7258,0.05,00.05
ntl-feea,1,10,4,39.6348,0.04,00.05
ntl-feea,1,10,8,44.6706,0.06,00.05
ntl-feea,1,10,16,60.9037,0.08,00.08
ntl-feea,1,11,1,39.878,0.08,00.09
ntl-feea,1,11,2,36.3979,0.08,00.08
ntl-feea,1,11,4,42.1531,0.11,00.11
ntl-feea,1,11,8,69.7416,0.18,00.15
ntl-feea,1,11,16,53.7233,0.14,00.14
ntl-feea,1,12,1,46.7219,0.20,00.21
ntl-feea,1,12,2,39.0326,0.19,00.17
ntl-feea,1,12,4,39.8451,0.20,00.17
ntl-feea,1,12,8,60.4943,0.37,00.26
ntl-feea,1,12,16,65.3846,0.40,00.30
ntl-feea,2,6,1,63.3149,0.01,00.01
ntl-feea,2,6,2,47.7002,0.01,00.01
ntl-feea,2,6,4,47.6798,0.00,00.01
ntl-feea,2,6,8,43.0036,0.01,00.01
ntl-feea,2,6,16,30.867,0.00,00.01
ntl-feea,2,7,1,37.0814,0.00,00.01
ntl-feea,2,7,2,36.7563,0.01,00.01
ntl-feea,2,7,4,32.0884,0.01,00.01
ntl-feea,2,7,8,41.9185,0.01,00.01
ntl-feea,2,7,16,31.9705,0.01,00.01
ntl-feea,2,8,1,37.1818,0.01,00.01
ntl-feea,2,8,2,36.0069,0.01,00.01
ntl-feea,2,8,4,36.5513,0.01,00.01
ntl-feea,2,8,8,36.1784,0.01,00.02
ntl-feea,2,8,16,36.5238,0.01,00.02
ntl-feea,2,9,1,41.3603,0.02,00.02
ntl-feea,2,9,2,40.8477,0.03,00.02
ntl-feea,2,9,4,39.5062,0.02,00.02
ntl-feea,2,9,8,39.4585,0.02,00.03
ntl-feea,2,9,16,37.6633,0.02,00.03
ntl-feea,2,10,1,38.1915,0.04,00.04
ntl-feea,2,10,2,37.6249,0.04,00.04
ntl-feea,2,10,4,36.5153,0.03,00.04
ntl-feea,2,10,8,71.2032,0.09,00.09
ntl-feea,2,10,16,45.109,0.07,00.05
